"1";"A";"Landkreis Augsburg ";"Augsburg";"Bayern"
"2";"AA";"Ostalbkreis";"Aalen";"Baden-Württemberg"
"3";"AB";"Landkreis Aschaffenburg ";"Aschaffenburg";"Bayern"
"4";"ABG";"Landkreis Altenburger Land";"Altenburg";"Thüringen"
"5";"ABI";"Landkreis Anhalt-Bitterfeld";"Anhalt-Bitterfeld";"Sachsen-Anhalt"
"6";"AC";"Städteregion Aachen";"Aachen";"Nordrhein-Westfalen"
"7";"AE";"Vogtlandkreis";"Auerbach/Vogtl.";"Sachsen"
"8";"AH";"Kreis Borken";"Ahaus";"Nordrhein-Westfalen"
"9";"AIB";"Landkreis München und Landkreis Rosenheim";"Bad Aibling";"Bayern"
"10";"AIC";"Landkreis Aichach-Friedberg";"Aichach";"Bayern"
"11";"AK";"Landkreis Altenkirchen (Westerwald)";"Altenkirchen";"Rheinland-Pfalz"
"12";"ALF";"Landkreis Hildesheim";"Alfeld (Leine)";"Niedersachsen"
"13";"ALZ";"Landkreis Aschaffenburg";"Alzenau";"Bayern"
"14";"AM";"Stadt Amberg";"Amberg";"Bayern"
"15";"AN";"Landkreis Ansbach ";"Ansbach";"Bayern"
"16";"ANA";"Erzgebirgskreis";"Annaberg-Buchholz";"Sachsen"
"17";"ANK";"Landkreis Vorpommern-Greifswald";"Anklam";"Mecklenburg-Vorpommern"
"18";"AÖ";"Landkreis Altötting";"Altötting";"Bayern"
"19";"AP";"Landkreis Weimarer Land";"Apolda";"Thüringen"
"20";"APD";"Landkreis Weimarer Land";"Apolda";"Thüringen"
"21";"ARN";"Ilm-Kreis";"Arnstadt";"Thüringen"
"22";"ART";"Kyffhäuserkreis";"Artern";"Thüringen"
"23";"AS";"Landkreis Amberg-Sulzbach";"Amberg-Sulzbach";"Bayern"
"24";"ASL";"Salzlandkreis";"Aschersleben";"Sachsen-Anhalt"
"25";"ASZ";"Erzgebirgskreis";"Aue-Schwarzenberg";"Sachsen"
"26";"AT";"Landkreis Mecklenburgische Seenplatte ";"Altentreptow";"Mecklenburg-Vorpommern"
"27";"AU";"Erzgebirgskreis";"Aue (Sachsen)";"Sachsen"
"28";"AUR";"Landkreis Aurich";"Aurich";"Niedersachsen"
"29";"AW";"Landkreis Ahrweiler";"Ahrweiler";"Rheinland-Pfalz"
"30";"AZ";"Landkreis Alzey-Worms";"Alzey";"Rheinland-Pfalz"
"31";"AZE";"Landkreis Anhalt-Bitterfeld";"Anhalt-Zerbst";"Sachsen-Anhalt"
"32";"B";"Stadt Berlin";"Berlin";"Berlin"
"33";"BA";"Landkreis Bamberg";"Bamberg";"Bayern"
"34";"BAD";"Stadt Baden-Baden";"Baden-Baden";"Baden-Württemberg"
"35";"BAR";"Landkreis Barnim";"Barnim";"Brandenburg"
"36";"BB";"Landkreis Böblingen";"Böblingen";"Baden-Württemberg"
"37";"BBG";"Salzlandkreis";"Bernburg (Saale)";"Sachsen-Anhalt"
"38";"BBL";"Brandenburg  Landesregierung";"Brandenburgische Landesregierung";"Brandenburg"
"39";"BC";"Landkreis Biberach";"Biberach an der Riß";"Baden-Württemberg"
"40";"BCH";"Neckar-Odenwald-Kreis";"Buchen (Odenwald)";"Baden-Württemberg"
"41";"BD";"Deutscher Bundestag";"Bund";"bundesweit"
"42";"BED";"Landkreis Mittelsachsen";"Brand-Erbisdorf";"Sachsen"
"43";"BER";"Landkreis Barnim";"Bernau bei Berlin";"Brandenburg"
"44";"BF";"Kreis Steinfurt";"Burgsteinfurt";"Nordrhein-Westfalen"
"45";"BGL";"Landkreis Berchtesgadener Land";"Berchtesgadener Land";"Bayern"
"46";"BH";"Landkreis Rastatt";"Bühl";"Baden-Württemberg"
"47";"BI";"Stadt Bielefeld";"Bielefeld";"Nordrhein-Westfalen"
"48";"BID";"Landkreis Marburg-Biedenkopf";"Biedenkopf";"Hessen"
"49";"BIN";"Landkreis Mainz-Bingen";"Bingen";"Rheinland-Pfalz"
"50";"BIR";"Landkreis Birkenfeld ";"Birkenfeld";"Rheinland-Pfalz"
"51";"BIT";"Eifelkreis Bitburg-Prüm";"Bitburg";"Rheinland-Pfalz"
"52";"BIW";"Landkreis Bautzen";"Bischofswerda";"Sachsen"
"53";"BK";"Landkreis Börde ";"Backnang";"Baden-Württemberg"
"54";"BKS";"Landkreis Bernkastel-Wittlich";"Bernkastel-Kues";"Rheinland-Pfalz"
"55";"BL";"Zollernalbkreis";"Balingen";"Baden-Württemberg"
"56";"BLB";"Kreis Siegen-Wittgenstein";"Bad Berleburg";"Nordrhein-Westfalen"
"57";"BLK";"Burgenlandkreis";"Burgenlandkreis";"Sachsen-Anhalt"
"58";"BM";"Rhein-Erft-Kreis";"Bergheim";"Nordrhein-Westfalen"
"59";"BN";"Stadt Bonn";"Bonn";"Nordrhein-Westfalen"
"60";"BNA";"Landkreis Leipzig";"Borna";"Sachsen"
"61";"BO";"Stadt Bochum";"Bochum";"Nordrhein-Westfalen"
"62";"BÖ";"Landkreis Börde";"Börde";"Sachsen-Anhalt"
"63";"BOH";"Kreis Borken";"Bocholt";"Nordrhein-Westfalen"
"64";"BOR";"Kreis Borken";"Borken";"Nordrhein-Westfalen"
"65";"BOT";"Stadt Bottrop";"Bottrop";"Nordrhein-Westfalen"
"66";"BP";"Bundespolizei";"Bundespolizei";"bundesweit"
"67";"BRA";"Landkreis Wesermarsch";"Brake (Unterweser)";"Niedersachsen"
"68";"BRB";"Stadt Brandenburg an der Havel";"Brandenburg an der Havel";"Brandenburg"
"69";"BRG";"Landkreis Jerichower Land";"Burg bei Magdeburg";"Sachsen-Anhalt"
"70";"BRK";"Landkreis Bad Kissingen";"Bad Brückenau";"Bayern"
"71";"BRL";"Landkreis Goslar";"Braunlage";"Niedersachsen"
"72";"BRV";"Landkreis Rotenburg (Wümme)";"Bremervörde";"Niedersachsen"
"73";"BS";"Stadt Braunschweig ";"Braunschweig";"Niedersachsen"
"74";"BT";"Stadt Bayreuth";"Bayreuth";"Bayern"
"75";"BTF";"Landkreis Anhalt-Bitterfeld";"Bitterfeld";"Sachsen-Anhalt"
